"ip","city","region","country","isp","page","referrer","timestamp","userAgent","user_agent","created_at"
"97.178.48.27","Houston","Texas","United States","CELLCO-PART","/","https://695a3d300763dca82953d831--safesapcr.netlify.app/","2026-01-04T10:13:20.005Z","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","2026-01-04T10:13:20.270Z"
"97.178.48.27","Houston","Texas","United States","CELLCO-PART","/","https://safesapcrtx.org/","2026-01-04T10:10:01.894Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","2026-01-04T10:10:02.145Z"
"97.178.48.27","Houston","Texas","United States","CELLCO-PART","/","https://695a3b81aead7f93c2929a84--safesapcr.netlify.app/","2026-01-04T10:06:11.512Z","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","2026-01-04T10:06:11.761Z"
"97.178.48.27","Houston","Texas","United States","CELLCO-PART","/","https://695a360c948bf4893a4497c0--safesapcr.netlify.app/","2026-01-04T09:42:57.829Z","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","2026-01-04T09:42:58.067Z"
"97.178.48.27","Houston","Texas","United States","CELLCO-PART","/","https://695a207090683d6765c8a1b2--safesapcr.netlify.app/","2026-01-04T08:10:44.445Z","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","2026-01-04T08:10:44.633Z"
"2600:100d:a0ed:424c:e48a:e01e:3d27:9dc9","Houston","Texas","United States","CELLCO-PART","/","https://safesapcrtx.org/","2026-01-04T08:08:53.223Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","2026-01-04T08:08:53.313Z"
"97.178.48.27","Houston","Texas","United States","CELLCO-PART","/","https://695a1cd87eb47f7c509746d0--safesapcr.netlify.app/","2026-01-04T07:55:27.141Z","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","2026-01-04T07:55:27.327Z"
"2600:100d:b09f:b63e:e00b:72:9da6:6b1a","Houston","Texas","United States","CELLCO-PART","/","https://safesapcrtx.org/","2026-01-04T07:41:23.529Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","2026-01-04T07:41:23.923Z"
"97.178.48.27","Houston","Texas","United States","CELLCO-PART","/","https://695a139e0763dc410453de24--safesapcr.netlify.app/","2026-01-04T07:15:56.171Z","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","2026-01-04T07:15:56.362Z"
"97.178.48.27","Houston","Texas","United States","CELLCO-PART","/","https://695a1355aaec2a374d50c92b--safesapcr.netlify.app/","2026-01-04T07:14:48.082Z","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","2026-01-04T07:14:48.247Z"
"97.178.48.27","Houston","Texas","United States","CELLCO-PART","/","https://695a10d121629236d80c931e--safesapcr.netlify.app/","2026-01-04T07:04:07.869Z","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse","2026-01-04T07:04:08.035Z"
"97.178.48.27","Houston","Texas","United States","CELLCO-PART","/","https://safesapcrtx.org/","2026-01-04T06:58:15.936Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","2026-01-04T06:58:16.098Z"
"47.185.188.124","Flower Mound","Texas","United States","FRONTIER-FRTR","/","https://safesapcrtx.org/","2026-01-04T05:12:24.489Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Mobile/15E148 Safari/604.1","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Mobile/15E148 Safari/604.1","2026-01-04T05:12:24.644Z"
"47.185.188.124","Flower Mound","Texas","United States","FRONTIER-FRTR","/","https://safesapcrtx.org/","2026-01-04T04:37:46.184Z","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36","2026-01-04T04:37:43.671Z"
"74.179.70.60","Quincy","Washington","United States","MICROSOFT-CORP-MSN-AS-BLOCK","/","https://safesapcrtx.org/","2026-01-04T04:22:53.725Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.175 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.175 Safari/537.36","2026-01-04T04:22:54.065Z"
